STFIPS,NAME,YEAR,AdmAlc,AdmCoc,AdmMar,AdmHer,AdmOpi,AdmBen,AdmNMJ,RatAlc,RatCoc,RatMar,RatHer,RatOpi,RatBen,RatNMJ,lRatAlc,lRatCoc,lRatMar,lRatHer,lRatOpi,lRatBen,lRatNMJ,P017,P1824,P2565,P65
37,North Carolina,2011,25711,9003,13632,2459,9334,865,52283,268.9772774825292,94.1854626103695,142.6120433527221,25.724986399966525,97.64824036489935,9.049253044315186,546.9619617525212,5.598337797984822,4.555827226464338,4.967115520456242,3.285598948022917,4.591560395156974,2.3074983077941855,6.306205871678468,0.238684144453279,0.0959798301041972,0.531597480855338,0.133738544587187
37,North Carolina,2012,21887,7864,14738,2812,8907,737,45267,226.92335087625258,81.53356930099376,152.80286678001602,29.154679154933167,92.34734254373747,7.641180134134333,469.3260530961451,5.42900939206584,4.413205111197135,5.03567169655983,3.4063401069834103,4.536327401920361,2.1565391630873356,6.153426184176483,0.236404738692894,0.096244655450686,0.527887767341513,0.139462838514907
37,North Carolina,2013,19557,6805,14977,3267,9134,728,42751,200.869499840389,69.89399940757005,153.82842455946752,33.55528230191496,93.81510515631811,7.4772713546966925,439.0945435228548,5.307621448233073,4.261185795366387,5.042317565484511,3.542560427150124,4.551928733660133,2.137388623813087,6.086989575473553,0.234240623522263,0.0959806379755822,0.525728695014837,0.144050043487317
37,North Carolina,2014,14359,4872,12627,2973,6658,701,32529,146.12418795443742,49.57984843749698,128.49851112895615,30.254698153669647,67.75505560280273,7.133717929943634,331.03097081759836,4.991277046139125,3.923553244746562,4.863669383999803,3.442169705799776,4.230550269883805,2.0960181289815565,5.805228250160834,0.232371041257211,0.094826243085967,0.524338037279121,0.148464678377701
38,North Dakota,2010,1448,18,705,10,156,5,1802,217.00783955807134,2.6976112652246433,105.65644122129854,1.498672925124802,23.379297631946912,0.749336462562401,270.0608611074893,5.384531023418054,1.3076870071648408,4.669612838980132,0.9157597609839789,3.1937343144480965,0.5592365517844264,5.602343375397881,0.225415394668021,0.117208212128161,0.511036976757082,0.146339416446736
38,North Dakota,2011,1011,12,495,7,117,3,1292,149.07129028500484,1.7693921695549535,72.98742699414183,1.0321454322403896,17.251573653160797,0.44234804238873837,190.50455692208334,5.011110449758621,1.0186278627465588,4.303895173284028,0.7090920981395984,2.904251303881572,0.3662723706197524,5.254911604275354,0.225218556795277,0.118853021015955,0.510733575248563,0.145194846940205
38,North Dakota,2012,1397,16,750,16,181,8,1900,201.4384754697828,2.307097786339674,108.14520873467222,2.307097786339674,26.099043707967564,1.153548893169837,273.96786212783627,5.310436015541898,1.1960710030634465,4.6926791858774015,1.1960710030634465,3.2994984397341636,0.7671171293034417,5.61665422584764,0.226851157586314,0.11996620101743,0.50787873894035,0.145303902455906
38,North Dakota,2013,1355,5,731,22,188,11,2012,189.69169150391212,0.6999693413428492,102.33551770432456,3.0798651019085366,26.31884723449113,1.5399325509542683,281.6676629563625,5.250657943245665,0.5306102163953403,4.637981147661764,1.4060639246117572,3.30757683888158,0.9321375259354477,5.644271871727355,0.228791978911324,0.121182892189322,0.506413819074724,0.14361130982463
38,North Dakota,2014,1471,13,866,63,242,9,2476,201.40973119810724,1.7799636339737552,118.57296207855939,8.625977610795891,33.134707647819134,1.2322825158279842,339.0146121322321,5.310294015299582,1.02243784631258,4.78392674638169,2.2644654449687893,3.530314686246461,0.8030246117008502,5.828988593546234,0.230840745284466,0.120625397068811,0.505268692356562,0.143265165290161
39,Ohio,2010,32643,7793,21875,10675,9067,503,67172,283.15433390161394,67.59861912493574,189.74974892313222,92.59787747448853,78.64964450221898,4.363159940952481,582.6683490132406,5.649517519788049,4.228272405155126,5.25096235390227,4.5390077066718195,4.37763757309712,1.6795533425940319,6.369332925989214,0.236213325385385,0.095483461541998,0.527263504153503,0.141039708919114
