"","STATE","YEAR","P017","P1824","P2565","P65"
"29",4,2018,0.229405845598108,0.0952000848369739,0.499420107903777,0.17597396166114
"30",4,2019,0.225954768435162,0.0945796236167343,0.499190532146591,0.180275075801512
"31",5,2010,0.244141789585419,0.0972503068823294,0.513984502528134,0.144623401004118
"32",5,2011,0.242539512237351,0.0981015926227237,0.513636080135211,0.145722815004715
"33",5,2012,0.241423502380493,0.0981291468518554,0.510299741173978,0.150147609593673
"34",5,2013,0.240109000057237,0.0979744020559096,0.508340448389062,0.153576149497792
"35",5,2014,0.238821678844863,0.0974471892533284,0.506495432205225,0.157235699696584
"36",5,2015,0.237649040108029,0.0960665724257045,0.50604335308536,0.160241034380906
"37",5,2016,0.236512436129085,0.0944966229787542,0.505721956182986,0.163268984709175
"38",5,2017,0.235465779064686,0.093160152581905,0.504991759682498,0.16638230867091
"39",5,2018,0.233886098417991,0.0927654152761002,0.503393109802025,0.169955376503884
"40",5,2019,0.232413357224563,0.0921965569276711,0.501489771760858,0.173900314086907
"41",6,2010,0.24968574771274,0.104077161275638,0.531265132988695,0.114971958022927
"42",6,2011,0.246616418598677,0.104192957489665,0.532033376768074,0.117157247143584
"43",6,2012,0.243238357812172,0.104319281832937,0.530989073011178,0.121453287343712
"44",6,2013,0.240319673883868,0.103382789339312,0.531163157056603,0.125134379720217
"45",6,2014,0.237594668900921,0.101897923608337,0.531727242234162,0.12878016525658
"46",6,2015,0.23519006990963,0.0994853876271423,0.532757325212704,0.132567217250524
"47",6,2016,0.232943517557168,0.0967346755042318,0.534135702914503,0.136186104024098
"48",6,2017,0.230781647092811,0.0945947218080902,0.534758512720836,0.139865118378263
"49",6,2018,0.228251982102246,0.0932134925680865,0.534568478856262,0.143966046473406
"50",6,2019,0.22599901245399,0.0917431411783996,0.533917210023208,0.148340636344402
"51",8,2010,0.244758642256991,0.095520753223794,0.549147501539699,0.110573102979516
"52",8,2011,0.242297513191078,0.0955564628861908,0.549073012354528,0.113073011568203
"53",8,2012,0.239636954360858,0.095348531064563,0.546516918935718,0.118497595638861
"54",8,2013,0.237047870597096,0.0952275025316705,0.544719171381718,0.123005455489516
"55",8,2014,0.234732816526575,0.0948438382706231,0.543274129013002,0.127149216189799
"56",8,2015,0.232157829693993,0.093990006763465,0.543200224968763,0.130651938573779
"57",8,2016,0.229397264036001,0.0928504432191932,0.54346824740066,0.134284045344146
"58",8,2017,0.226535196980344,0.0912552499814374,0.54366277157411,0.138546781464109
"59",8,2018,0.223461659109805,0.0904222305761663,0.543366223746522,0.142749886567506
"60",8,2019,0.220087562109074,0.0898033216286797,0.542906219775477,0.147202896486769
"61",9,2010,0.228075791501953,0.0917533121323257,0.537695643711045,0.142475252654677
"62",9,2011,0.224692395766427,0.0932461113127985,0.537626295065486,0.144435197855288
"63",9,2012,0.221493171608992,0.0944196125518503,0.5347020316927,0.149385184146457
"64",9,2013,0.218176515332333,0.0954121784247637,0.533028590165982,0.153382716076922
"65",9,2014,0.215423676032437,0.0968004088179101,0.530814259671301,0.156961655478352
"66",9,2015,0.212803116137813,0.0974245603684659,0.529182784813521,0.1605895386802
"67",9,2016,0.210569077456754,0.0975106047018613,0.527523493342549,0.164396824498836
"68",9,2017,0.208454537016187,0.0972347753077917,0.526074133608079,0.168236554067943
"69",9,2018,0.206381004827736,0.0963156989640665,0.524888129448066,0.172415166760132
"70",9,2019,0.204429990934082,0.0954341046014734,0.523020575081596,0.177115329382849
"71",10,2010,0.229452245967931,0.100082170919979,0.525215084615951,0.145250498496138
"72",10,2011,0.22665883084701,0.100418021057105,0.524890348328746,0.148032799767139
"73",10,2012,0.224039758281238,0.100283439060602,0.52120086864251,0.15447593401565
"74",10,2013,0.221177115498191,0.0982187625419152,0.520205739071607,0.160398382888287
"75",10,2014,0.219092448051277,0.0950670250525518,0.520055825493642,0.165784701402529
"76",10,2015,0.217311599187369,0.0915393598131589,0.520213928836135,0.170935112163337
"77",10,2016,0.215479985530945,0.0887943088381814,0.519106980050049,0.176618725580825
